78/2949-3,116/0730,2023,449135
78/2949-3,04/1995,2023,449135
78/2949-3,151/9322,2023,449135
116/0730,04/1995,2023,449135
116/0730,151/9322,2023,449135
04/1995,151/9322,2023,449135
346/7992,356/8805,2023,449136
346/7992,146/4030,2023,449136
346/7992,48/5636,2023,449136
356/8805,146/4030,2023,449136
356/8805,48/5636,2023,449136
146/4030,48/5636,2023,449136
344/5019,344/5260,2023,449137
344/5019,140/7574,2023,449137
344/5260,140/7574,2023,449137
324/8600,283/6276,2023,449138
324/8600,317/5112,2023,449138
324/8600,199/2726,2023,449138
324/8600,07/11082,2023,449138
324/8600,263/2863,2023,449138
324/8600,337/9699,2023,449138
324/8600,337/9456,2023,449138
324/8600,313/1977,2023,449138
324/8600,315/4908,2023,449138
324/8600,192/8344,2023,449138
324/8600,302/2387,2023,449138
324/8600,337/9871,2023,449138
324/8600,80/8064-2,2023,449138
324/8600,79/3056,2023,449138
324/8600,25/10485,2023,449138
283/6276,317/5112,2023,449138
283/6276,199/2726,2023,449138
283/6276,07/11082,2023,449138
283/6276,263/2863,2023,449138
283/6276,337/9699,2023,449138
283/6276,337/9456,2023,449138
283/6276,313/1977,2023,449138
283/6276,315/4908,2023,449138
283/6276,192/8344,2023,449138
283/6276,302/2387,2023,449138
283/6276,337/9871,2023,449138
283/6276,80/8064-2,2023,449138
283/6276,79/3056,2023,449138
283/6276,25/10485,2023,449138
317/5112,199/2726,2023,449138
317/5112,07/11082,2023,449138
317/5112,263/2863,2023,449138
317/5112,337/9699,2023,449138
317/5112,337/9456,2023,449138
317/5112,313/1977,2023,449138
317/5112,315/4908,2023,449138
317/5112,192/8344,2023,449138
317/5112,302/2387,2023,449138
317/5112,337/9871,2023,449138
317/5112,80/8064-2,2023,449138
317/5112,79/3056,2023,449138
317/5112,25/10485,2023,449138
199/2726,07/11082,2023,449138
199/2726,263/2863,2023,449138
199/2726,337/9699,2023,449138
199/2726,337/9456,2023,449138
199/2726,313/1977,2023,449138
199/2726,315/4908,2023,449138
199/2726,192/8344,2023,449138
199/2726,302/2387,2023,449138
199/2726,337/9871,2023,449138
